,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN,RANGO_POB
3749,PASCO,PASCO,YANACANCHA,SAN MIGUEL,-10.620696,-76.191066,18,40,100
3750,PASCO,PASCO,PAUCARTAMBO,SAN JUAN,-10.789843,-75.831622,12,36,100
3751,PASCO,PASCO,HUARIACA,TARAPATA,-10.439118,-76.194198,10,35,100
3752,PASCO,PASCO,YANACANCHA,QUICHAS,-10.647055,-76.165787,13,35,100
3753,PASCO,PASCO,TICLACAYAN,MACHALAN,-10.530973,-76.165762,3,11,100
3754,PASCO,PASCO,PAUCARTAMBO,SANTA ROSA DE JATUN YACU,-10.792208,-75.82685,4,9,10
3755,PASCO,PASCO,PAUCARTAMBO,CACARA,-10.774105,-75.802453,4,8,10
3756,PASCO,PASCO,YANACANCHA,NUNUNYAYOC,-10.653848,-76.171376,2,7,10
3757,PASCO,PASCO,TICLACAYAN,ACAPA CANCHA,-10.513745,-76.123802,1,6,10
3758,PASCO,PASCO,YANACANCHA,MACAPATA,-10.623211,-76.186374,2,5,10
3759,PASCO,PASCO,HUARIACA,POSUYOJ,-10.44014,-76.195682,2,3,10
3760,PASCO,PASCO,YANACANCHA,MUYOMUYO,-10.651333,-76.165904,1,3,10
3761,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,HUARICOLCA,-10.515005,-76.427137,1,3,10
3762,PASCO,OXAPAMPA,VILLA RICA,KM 3,-10.837025,-75.292603,2,3,10
3763,PASCO,PASCO,HUARIACA,CHALCAN,-10.442203,-76.19996,1,2,10
3764,PASCO,PASCO,PAUCARTAMBO,SAN FRANCISCO,-10.786313,-75.826932,1,2,10
3765,PASCO,PASCO,YANACANCHA,HUALANGAYOC,-10.653738,-76.172737,1,2,10
3766,PASCO,PASCO,PAUCARTAMBO,TINDALPATA ALTA,-10.720438,-75.646958,1,1,10
3767,PASCO,PASCO,HUARIACA,MONTECHICO,-10.442662,-76.197312,0,0,10
3768,PASCO,PASCO,PAUCARTAMBO,PALMAFALDA,-10.723742,-75.645252,0,0,10
3769,PASCO,PASCO,TICLACAYAN,MARCAPATA,-10.512163,-76.125143,0,0,10
3770,PASCO,DANIEL ALCIDES CARRION,PAUCAR,GASAPASH,-10.325457,-76.355749,0,0,10
3771,PIURA,PIURA,VEINTISEIS DE OCTUBRE,SAN MARTIN,-5.179294,-80.678167,41165,165712,1000000
3772,PIURA,PIURA,PIURA,PIURA,-5.152397,-80.65779,31767,149982,1000000
3773,PIURA,PIURA,CASTILLA,CASTILLA,-5.201467,-80.622789,35518,145182,1000000
